Year,Town,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable Fund Balance,Restricted Fund Balance,Committed Fund Balance,Assigned Fund Balance,Total Fund Balance,Unassigned Fund Balance,Unrestricted Fund Balance,Restatement Fund Balance Flag,Inter Gov Revenue,Tax Revenue,Total Revenue,Education,Annual Debt Service,Total Expenditures,Total Transfers In,Other Financing Sources,Total Trans To General Fund,Other Financing Uses,Operating Surplus Deficit Including Transactions,Previous Year Operating Surplus Def Including Transactions,Operating Surplus Deficit Including Sources and Uses,Special Or Extraordinary Items,Large Deficit Indicator Entprise Fund,Large Deficit Indicator Internal Service Fund,Regional School District (RSD) Debt,Town Bonded Long Term Debt,Total Bonded Long-Term Debt,Net Pension Liability,Current Year Adjusted Taxes Collectible,Current Year Taxes Collected,Property Tax Collection Rate (current Year),Total Adjusted Taxes Collectible,Total Taxes Collected,Overall Tot Tax Colleton Rate,Population,Area Limit,Net Grand List,EGL,RPA Identifier,Deficit Bonds,10-Year Scheduled Repayment Principal Amount,Total Net OPEB Liability
2019,SHERMAN,14825258,4577547,21294297,991864,0,10750,0,0,2952008,2941258,2941258,False,796695,14115740,15528952,9824076,973188,14434210,0,0,0,1094129,613,76215,613,0,0,0,0,5105000,5105000,0,14050016,13982765,0.9952,14139051,14061439,0.9945,3630,21.89,689815116,1020795587.0,Western CT,False,0,0
2019,NEW MILFORD,115283017,2616497,141341785,72620,1829872,0,335827,2017081,24188374,20005594,22358502,False,23165202,81555312,110121396,72159336,4837900,108340903,1860541,2548467,1860541,3210506,430528,376724,1118454,0,0,0,0,21744494,21744494,14416462,81495242,79949465,0.981,83447327,80789552,0.9682,26805,61.57,2896387950,4343771207.0,Western CT,False,0,17938748
2019,BLOOMFIELD,128523168,-105847712,22675456,-3645621,7878,0,0,3925697,22689467,18755892,22681589,False,9237517,80621613,93812311,46334201,5687779,91216484,150000,335684,150000,1587110,1158717,1791160,1344401,0,0,0,0,51405250,51405250,37224613,80638872,79375801,0.9843,82038180,80176040,0.9773,21211,26.09,2116863202,3067207322.0,Capitol,False,0,82467918
2019,NORTH CANAAN,8732738,4493215,14416398,440772,0,0,0,3600,2658201,2654601,2658201,False,2984798,9037139,12315365,9077134,155872,11437990,0,0,0,267180,610195,329046,610195,0,0,0,1912390,725511,2637901,0,8900453,8648049,0.9716,9540735,8794046,0.9217,3251,19.47,327295690,467642414.3,Northwest Hills,False,0,0
2019,PROSPECT,17742705,1637246,20526364,236067,0,0,0,195784,2751966,2556182,2751966,False,5323210,26707977,32534155,23600523,494627,32213436,272927,1775927,272927,1780657,315989,-73429,315989,0,0,0,14340333,3593162,17933495,852058,26610444,26375777,0.9912,26916880,26607006,0.9885,9702,14.23,853318913,1270606763.0,Naugatuck Valley,False,0,2254895
2019,ANDOVER,7952422,3398208,11604025,557478,0,0,200000,976000,3121327,1945327,3121327,False,2796687,8887452,11915051,9087857,137713,11390370,0,123003,0,165600,359081,184874,482084,0,0,0,1622278,360388,1982666,1517000,8881540,8739477,0.984,9078890,8838668,0.9735,3236,15.45,259715957,384095516.0,Capitol,False,0,424682
2019,SHARON,4504116,8605748,13109864,726008,0,0,179000,388450,2946383,2378933,2946383,False,293253,11061813,11790347,6876443,798494,11209151,11870,11870,11870,723347,-130281,545743,-130281,0,0,0,1147332,6991228,8138560,0,11060040,10869362,0.9828,11629190,10953551,0.9419,2689,58.77,750070851,1061795414.0,Northwest Hills,False,0,0
2019,REDDING,46117535,10817068,57541560,2210339,2813206,0,0,45000,12254513,9396307,9441307,False,1961527,48054156,51785004,36083853,3048802,50722478,0,255464,0,0,1062526,793810,1317990,0,0,0,6419611,26300809,32720420,10347773,47998238,47362520,0.9868,51125472,47920277,0.9373,9116,31.5,1564910852,2236521146.0,Western CT,False,0,3263983
2019,HAMPTON,7291624,1657443,12009257,-3700,0,0,0,19007,1190537,1171530,1190537,False,1608343,3970467,5717135,3769278,3811,5295355,0,0,0,664123,-242343,322709,-242343,0,0,0,0,6035,6035,0,4004692,3902542,0.9745,4133193,3943784,0.9542,1842,25.09,140175885,226365034.3,Northeast CT,False,0,376899
2019,EAST LYME,64645328,-966488,63710528,4303937,0,0,0,1138329,7399940,6261611,7399940,False,11152517,59523761,77413356,52077895,6140912,76855275,44195,44195,44195,114121,488155,942117,488155,0,0,-1158768,0,59783105,59783105,6275760,59381484,58735921,0.9891,61122715,59235523,0.9691,18462,34.0,2166414260,3302735615.0,Southeastern CT,False,0,8058031
