Coluna,Tipo
QT_TUR_INF_CRE,Inteiro
QT_TUR_INF_PRE,Inteiro
QT_TUR_FUND,Inteiro
QT_TUR_FUND_AI,Inteiro
QT_TUR_FUND_AF,Inteiro
QT_TUR_MED,Inteiro
QT_TUR_PROF,Inteiro
QT_TUR_PROF_TEC,Inteiro
QT_TUR_EJA,Inteiro
QT_TUR_EJA_FUND,Inteiro
QT_TUR_EJA_MED,Inteiro
QT_TUR_ESP,Inteiro
QT_TUR_ESP_CC,Inteiro
QT_TUR_ESP_CE,Inteiro
