Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
HEBRON,KE,2007,68,67,T,44037991,7963702,52012125,700986,6776104,21310125,29229163,21795507,1650602,28441273,530000,530000,2335281,2335281,-1017391,474407.0,-1017391,0,15668695.76,9900320,25569015.76,158472.0,0.0,2756016,N,2597544.0,N,N,21278613,21079040,0.990620958236329,21583366,21177665,0.981203070920449,9232.0,A1,36.89,602335588.0,1210208622.76,10.0,0.035635964912281,34.89,2072.12,Capital Region COG
REDDING,VR,2008,118,117,F,31767568,3337320,35106988,-718230,7845406,36129273,45695825,35725618,2085619,46944272,0,349927,254800,254800,-1503247,-2342597.0,-1153320,0,13369335.75,13398784,26768119.75,0.0,0.0,398651,N,,N,N,35780495,35548779,0.993523957675823,36377079,35988138,0.989308075010641,,,31.5,,2776443707.95,,0.037329351535836,22.74,1808.89,
DERBY,BP,2010,37,37,NH,57925164,-12094303,45834691,9997213,12218692,23913482,37130787,20036381,1807132,36330768,0,0,143300,143300,656719,-1815501.0,656719,0,,11826360,11826360.0,0.0,0.0,2185140,N,2185140.0,N,N,23872842,23219129,0.972616875694984,25115408,23680991,0.942886972013355,12909.0,Aa3,4.98,908981968.0,1251941463.12,174.0,0.107358594179023,26.4,1580.69,Valley COG
WALLINGFORD,,2012,149,148,NH,203115000,12412000,217006000,2356000,36020000,105948000,148180000,95875000,5210000,146359000,1997000,19077000,2273000,19216000,1545000,,1682000,0,,37738000,37738000.0,,,22644000,,,,,105608000,103684000,0.981781683205818,109188000,105089000,0.962459244605634,45179.0,Aaa,,4169070630.0,5959102100.0,153.0,0.076431865662817,25.22,6572.14,
VOLUNTOWN,JG,2010,148,147,NL,8227765,2782363,11010128,-7763,3025042,4535487,7759323,5976499,281396,7633663,0,273008,109501,109501,16159,108869.0,289167,0,,618487,618487.0,59218.0,96745.0,1292528,N,1233310.0,N,N,4445928,4323363,0.97243207717264,4691935,4485049,0.955906038766522,2608.0,,38.92,222535885.0,285912209.29,13.0,0.103721781574131,20.0,413.64,Southeastern CT COG
EAST WINDSOR,BP,2011,45,47,H,39844361,8520495,48374677,2503852,7273015,26071181,34321679,20522588,1679510,33202434,350007,350007,419755,419755,1049497,-218350.0,1049497,0,,7472300,7472300.0,,,3935859,N,,N,N,25804815,25141490,0.974294526040973,27148175,25737570,0.948040522060875,11170.0,Aa2,26.28,1077269878.0,1502243643.34,73.0,0.091582691167753,23.9964,1396.21,Capital Region COG
SHELTON,VR,2008,127,126,F,107362378,7000387,115487135,6540150,31862190,86879545,124973147,85504187,8926169,124476425,0,0,0,0,496722,1777161.0,496722,0,,56655000,56655000.0,1310903.0,2880000.0,10949048,N,,N,Y,82516225,81706943,0.990192450030282,83545079,82258095,0.98459533445411,,,30.57,,7095358371.43,,0.050159716826384,17.47,5713.38,
EAST HAVEN,BP,2009,43,44,NH,36790597,-176290,38443640,-11692351,26567280,50718358,80248382,47501312,8102652,83239586,0,0,697460,697460,-3688664,-3187370.0,-3688664,0,,53830000,53830000.0,0.0,0.0,-2785008,N,,N,Y,49838834,48724546,0.977642173570915,51576451,49364955,0.957121981890534,,,12.26,,3279898968.91,,0.085106382978723,22.85,3810.03,
PLAINFIELD,JG,2009,110,109,W,60249331,6707535,66956866,-3060236,21948364,20245338,44662423,31742982,3147442,44480357,10342,180342,0,0,192408,-275081.0,362408,0,,20435575,20435575.0,0.0,932580.0,6355934,N,,N,N,20173681,19417948,0.962538666096683,21502127,19960085,0.92828421113874,,,42.26,,1498214867.14,,0.104489891866479,19.94,2542.9,
BLOOMFIELD,JG,2010,11,11,H,73964394,-16903582,63204943,7162633,10277496,62139854,74327375,40445920,3275364,73112393,0,0,270000,270000,944982,1299799.0,944982,0,,48689835,48689835.0,720057.0,0.0,10027629,N,9307572.0,N,N,62068048,60677058,0.977589274275228,63702931,61374489,0.963448432223629,20525.0,Aa2,26.01,1755693878.0,3141560761.04,160.0,0.107950116913484,35.53,2529.41,Capital Region COG
GROTON,VR,2008,59,59,NL,132233487,44189337,176752317,31904721,66139757,68736649,139332690,95600470,4798804,136594450,630992,630992,2463007,2463007,906225,1800850.0,906225,0,,46315000,46315000.0,2655295.0,2665505.0,15732892,N,,N,N,68586440,67314792,0.981459192225169,69965017,68053482,0.972678703129594,,,31.3,,4839951708.57,,0.055884184308842,21.21,5323.84,
COLCHESTER,JG,2011,28,28,NL,61575557,5083896,67699377,406032,16821153,32548912,50665236,36998747,3693538,50149192,0,0,278003,278003,238041,-528734.0,238041,0,,18115000,18115000.0,,,3615325,N,,N,N,32238714,31793600,0.98619318376037,33508175,32308258,0.964190320720242,16034.0,Aa3,49.06,1274983803.0,1752181106.18,70.0,0.079187708176641,25.07,3135.15,Southeastern CT COG
LITCHFIELD,JG,2009,75,74,L,33760000,11550000,45320000,4369000,2973000,23034000,26634000,16978000,3470000,26518000,482000,482000,452000,452000,146000,-350000.0,146000,0,,32787000,32787000.0,104000.0,0.0,4056000,N,,N,N,22969000,22525000,0.980669598154034,23458000,22829000,0.973186119873817,,,56.06,,1770768034.09,,0.070808588396528,25.5,1234.79,
BARKHAMSTED,JG,2011,5,5,L,4172042,2932147,7104189,1746,2040073,8258860,10432168,8512747,0,10396219,0,0,8000,8000,27949,-64489.0,27949,0,1671038.6,0,1671038.6,,,1446730,N,,N,N,8276044,8096916,0.978355842477396,8692666,8221187,0.945761288884216,3776.0,,36.22,368941301.0,533907239.0,4.0,0.08347602739726,22.39,660.1,Litchfield Hills Cncl of Elected Ofcls
NAUGATUCK,VR,2007,89,88,NH,106308617,3342635,111366290,2633477,33473809,56471242,99348415,55174664,10631995,95317043,346758,394678,3334131,3334131,1043999,-3040020.0,1091919,0,,101926134,101926134.0,441663.0,650000.0,9781205,Y,9339542.0,N,N,55606711,53087905,0.95470320120174,62266637,55080403,0.884589334734747,31931.0,A1,16.39,1420809290.0,3091541653.65,270.0,0.051552431165788,38.8,5259.09,COG of Central Naugatuck Valley
HAMPTON,KE,2007,64,63,W,3711394,2095175,7267786,550968,1815484,3592230,5695410,3869624,393651,5186082,0,0,244085,244085,265243,-199011.0,265243,0,0.0,646145,646145.0,56569.0,0.0,1262422,Y,1205853.0,N,N,3568366,3521610,0.986897083987461,3665775,3559124,0.970906288574722,2118.0,A3,25.0,117342523.0,226516653.11,4.0,0.048006509357201,30.1,252.54,Windham Region COG
MORRIS,BP,2011,88,87,L,5468624,1941127,7582085,306537,732109,7233324,8183907,5762292,0,7900391,0,0,100000,100000,183516,156476.0,183516,0,1480725.78,0,1480725.78,,,1408929,N,,N,N,7221123,7150894,0.990274504394954,7289670,7198050,0.987431529822338,2373.0,,17.19,351157044.0,509508077.91,5.0,0.08114199849737,20.6,352.17,Litchfield Hills Cncl of Elected Ofcls
